time,buffer,n_source_fault_overlaps,n_host_fault_overlaps,n_source_inactive_fault_overlaps,n_host_inactive_fault_overlaps,n_source,n_source_host,n_potential_OFM12,n_potential_OFM3,n_OFM3,n_OFM1,n_OFM2
00000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00002,0,0,1,0,0,0,0,0,0,0,0,0
00003,0,0,14,0,0,0,0,0,0,0,0,0
00004,0,0,25,0,0,0,0,0,0,0,0,0
00005,0,0,27,0,0,0,0,0,0,0,0,0
00006,0,0,26,0,0,0,0,0,0,0,0,0
00007,0,0,23,0,0,0,0,0,0,0,0,0
00008,0,0,22,0,0,0,0,0,0,0,0,0
00009,0,0,22,0,0,0,0,0,0,0,0,0
00010,0,0,17,0,0,0,0,0,0,0,0,0
00011,0,0,17,0,0,0,0,0,0,0,0,0
00012,0,0,16,0,0,0,0,0,0,0,0,0
00013,0,0,14,0,0,0,0,0,0,0,0,0
00014,0,0,16,0,0,0,0,0,0,0,0,0
00015,0,0,13,0,0,0,0,0,0,0,0,0
00016,0,0,14,0,2,0,0,0,0,0,0,0
00017,0,0,12,0,4,0,0,0,0,0,0,0
00018,0,0,5,0,5,0,0,0,0,0,0,0
00019,0,0,6,0,7,0,0,0,0,0,0,0
00020,0,0,7,0,7,0,0,0,0,0,0,0
00021,0,0,7,0,6,0,0,0,0,0,0,0
00022,0,0,10,0,7,0,0,0,0,0,0,0
00023,0,0,11,0,6,0,0,0,0,0,0,0
00024,0,0,14,0,7,0,0,0,0,0,0,0
00025,0,1,11,1,8,1,1,1,0,0,0,1
00026,0,1,7,1,10,1,1,1,1,0,0,1
00027,0,1,6,2,10,1,1,1,1,1,0,0
00028,0,1,8,2,11,1,1,1,1,0,0,1
00029,0,0,7,2,11,1,1,1,1,0,0,1
00030,0,0,6,2,10,1,1,0,1,1,0,0
00031,0,0,5,1,9,1,1,0,1,1,0,0
00032,0,0,4,2,10,1,1,0,1,1,0,0
00033,0,0,2,1,12,1,1,0,1,1,0,0
00034,0,0,5,1,10,1,1,0,1,1,0,0
00035,0,0,6,1,12,1,1,0,1,1,0,0
00036,0,0,3,1,11,1,1,0,1,1,0,0
00037,0,0,4,1,12,1,1,0,1,1,0,0
00038,0,1,5,2,12,2,1,1,1,1,0,0
00039,0,0,5,1,11,1,1,0,1,1,0,0
00040,0,0,5,1,11,1,1,0,1,1,0,0
00041,0,0,2,1,9,1,1,0,1,1,0,0
00042,0,0,3,1,14,1,1,0,1,1,0,0
00043,0,1,4,2,11,3,1,1,1,1,0,0
00044,0,1,4,2,9,3,1,1,1,1,0,0
00045,0,0,3,1,11,1,1,0,1,1,0,0
00046,0,1,2,2,10,3,1,0,1,1,0,0
00047,0,1,2,2,11,3,1,0,1,1,0,0
00048,0,2,1,2,10,3,1,0,1,1,0,0
00049,0,2,1,3,11,4,1,0,1,1,0,0
00050,0,2,2,3,8,4,1,0,1,1,0,0
