time,buffer,n_source_fault_overlaps,n_host_fault_overlaps,n_source_inactive_fault_overlaps,n_host_inactive_fault_overlaps,n_source,n_source_host,n_potential_OFM12,n_potential_OFM3,n_OFM3,n_OFM1,n_OFM2
00000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,8,0,0,0,0,0,0,0,0,0
00002,0,0,10,0,0,0,0,0,0,0,0,0
00003,0,0,8,0,0,0,0,0,0,0,0,0
00004,0,0,6,0,0,0,0,0,0,0,0,0
00005,0,0,6,0,0,0,0,0,0,0,0,0
00006,0,0,6,0,0,0,0,0,0,0,0,0
00007,0,0,7,0,0,0,0,0,0,0,0,0
00008,0,0,10,0,0,0,0,0,0,0,0,0
00009,0,0,9,0,0,0,0,0,0,0,0,0
00010,0,0,8,0,0,0,0,0,0,0,0,0
00011,0,0,1,0,0,0,0,0,0,0,0,0
00012,0,0,1,0,0,0,0,0,0,0,0,0
00013,0,0,1,0,0,0,0,0,0,0,0,0
00014,0,0,2,0,1,1,1,0,0,0,0,0
00015,0,0,0,0,0,1,1,0,0,nan,0,0
00016,0,0,0,0,0,1,1,0,0,nan,0,0
00017,0,0,0,0,0,1,1,0,0,nan,0,0
00018,0,1,0,1,0,2,1,0,0,0,0,0
00019,0,1,2,1,0,3,1,1,0,0,0,0
00020,0,1,0,1,0,2,1,0,1,0,0,0
00021,0,0,0,1,3,2,2,0,1,0,0,0
00022,0,1,2,1,3,3,2,0,1,1,0,0
00023,0,1,1,2,3,5,3,1,2,1,0,1
00024,0,1,5,2,5,4,2,1,1,1,0,0
00025,0,0,4,1,3,2,2,0,1,1,0,0
00026,0,0,3,1,5,2,2,0,1,1,0,0
00027,0,1,4,2,4,3,3,1,2,1,0,1
00028,0,0,2,1,5,2,2,0,1,1,0,0
00029,0,0,2,1,5,2,2,0,1,1,0,0
00030,0,0,2,1,5,2,2,0,1,0,0,0
00031,0,0,3,1,5,2,2,0,1,0,0,0
00032,0,0,3,1,6,2,2,0,1,0,0,0
00033,0,0,1,1,6,1,1,1,1,0,0,0
00034,0,0,2,0,8,1,1,0,0,0,0,0
00035,0,0,0,0,6,1,1,0,0,0,0,0
00036,0,2,2,1,4,2,1,1,0,0,0,0
00037,0,1,1,1,7,4,2,1,0,0,0,0
00038,0,2,5,2,7,3,3,1,0,0,0,2
00039,0,2,4,2,6,3,3,1,0,0,0,0
00040,0,4,4,2,6,3,3,1,1,0,0,2
00041,0,1,2,2,7,3,3,1,0,0,0,1
00042,0,1,2,1,7,3,2,1,0,0,0,1
00043,0,1,2,1,4,2,2,1,0,0,0,1
00044,0,1,0,2,6,3,2,0,1,0,0,0
00045,0,1,0,2,5,3,2,0,1,0,0,0
00046,0,1,0,2,6,3,2,0,1,0,0,0
00047,0,1,0,2,6,3,2,0,1,0,0,0
00048,0,1,0,2,6,3,2,0,1,0,0,0
00049,0,1,0,2,6,3,2,0,1,0,0,0
00050,0,1,0,2,6,3,2,0,1,0,0,0
