initial_craton_distance,initial_fault_geometry,start_left_border_fault,start_right_border_fault,end_left_border_fault,end_right_border_fault,start_migration,end_migration,migration_direction,start_oceanic_spreading,n_source_max,n_source_host_max,n_OFM3_max,n_OFM1_max,n_OFM2_max,n_OFM12_max,source_max
400,Lside-ULCshear 2Lside-Rdip,4.0,7.0,23.5,15.0,13.0,18.5,L,20.5,5,3,1,1,1,2,11.58
400,ULCshear Lside-Rdip,4.0,6.5,21.5,14.5,14.0,20.5,L,22.5,6,3,3,0,1,1,20.23
400,Lside-ULCshear Lside-C Lside-Rdip,4.0,7.0,19.0,16.0,50.0,50.0,C,19.0,7,5,2,1,1,2,26.43
400,Lside-ULCshear Lside-Rdip,4.0,7.0,21.5,14.0,14.0,21.5,L,22.0,5,3,2,0,2,2,20.72
400,Lside-ULCshear Lside-C Lside-Rdip,4.0,7.5,19.0,13.0,14.0,17.5,L,19.5,6,3,2,1,1,1,20.24
400,Lside-ULCshear Lside-Rdip,3.5,7.0,22.5,15.0,13.0,17.5,L,19.5,6,4,2,1,1,1,13.50
400,Lside-ULCshear,5.0,7.0,20.5,15.5,11.0,18.5,L,20.0,5,5,3,0,2,2,15.38
400,ULCshear-LD Lside-Rdip,4.0,7.5,21.0,14.0,11.0,19.5,L,21.0,5,4,3,1,3,3,18.58
400,ULCshear-LD Lside-Rdip,4.0,7.0,17.5,13.5,11.5,17.0,L,18.5,5,4,1,0,1,1,22.41
450,ULCshear Lside-Rdip,5.5,7.5,21.5,19.0,15.5,22.5,R,24.5,3,3,2,1,2,2,5.23
450,ULCshear 2Lside-Rdip,5.5,8.0,23.5,16.5,13.0,23.0,L,24.5,4,1,1,0,1,1,5.97
450,ULCshear Lside-C Rside-Ldip,6.0,7.0,23.5,17.5,13.5,21.5,L,23.5,4,3,1,1,1,1,4.77
450,ULCshear Lside-Rdip,5.5,8.0,25.0,20.5,13.0,21.5,L,23.5,4,2,0,1,1,1,1.96
450,ULCshear Lside-Rdip,5.5,7.0,18.5,24.0,13.0,23.0,R,25.0,4,4,2,0,1,1,18.26
450,ULCshear Lside-Rdip,6.5,7.0,19.5,23.5,13.0,23.5,R,50.0,2,2,1,0,1,1,9.71
450,ULCshear Lside-Rdip,6.0,6.5,19.0,23.5,13.0,23.5,R,25.0,4,3,1,1,1,2,22.62
450,ULCshear Lside-Rdip,6.5,8.5,24.5,19.0,14.0,24.0,L,25.0,3,3,3,0,1,1,2.47
450,ULCshear Lside-Rdip,6.5,8.0,20.5,20.5,14.0,22.0,R,24.0,7,4,2,1,1,2,8.49
500,ULCshear Lside-Rdip Rside-Ldip,6.5,6.5,22.5,24.5,13.5,23.0,R,25.0,4,2,1,1,2,2,7.74
500,ULCshear Lside-Rdip,5.0,7.0,20.0,22.0,13.5,23.0,R,23.5,3,3,2,0,2,2,5.93
500,ULCshear Lside-C Rside-Ldip,8.0,8.0,22.0,23.5,16.0,21.5,R,23.5,4,3,1,1,1,1,4.39
500,ULCshear 2Lside-Rdip Rside-Ldip,7.5,7.5,50.0,21.0,14.0,50.0,L,50.0,3.0,2.0,1.0,0.0,2.0,2.0,3.69
500,ULCshear 2Lside-Rdip Rside-Ldip,7.5,7.5,19.0,50.0,14.0,25.0,R,100.0,4.0,3.0,1.0,1.0,1.0,2.0,14.00
500,ULCshear Lside-Rdip Rside-Ldip,7.0,7.0,20.5,24.5,15.5,24.5,R,50.0,5.0,5.0,2.0,3.0,2.0,3.0,12.98
500,ULCshear Lside-Rdip 2Rside-Ldip,7.5,9.0,21.5,25.0,14.0,24.5,R,25.0,4,3,1,1,1,2,5.3
500,ULCshear Lside-C 2Rside-Ldip,7.5,7.5,24.5,22.0,15.0,24.0,L,50.0,5,4,3,0,3,3,12.13
500,ULCshear 3Lside-Rdip,8.0,10.0,19.5,25.0,15.5,24.0,R,50.0,4.0,2.0,1.0,0.0,2.0,2.0,8.26
2000,ULCshear 2Rside-Ldip,8.0,9.0,24.5,23.0,18.0,24.0,L,50.0,4.0,4.0,3.0,0.0,1.0,1.0,13.79
2000,ULCshear Lside-Ldip Rside-Ldip,7.0,7.5,23.0,21.0,16.0,22.5,L,24.5,6,5,3,1,2,2,6.42
2000,ULCshear Lside-Rdip 2Rside-Ldip,8.0,7.0,22.0,24.5,15.0,23.0,R,24.0,4,3,1,0,1,1,10.55
2000,ULCshear Lside-Rdip Rside-Ldip,6.5,7.0,23.5,22.5,14.0,22.0,R,23.5,4,4,1,2,2,3,13.07
2000,ULCshear Rside-Ldip,10.0,6.0,25.0,25.0,17.5,25.0,R,50.0,5.0,5.0,2.0,1.0,2.0,2.0,5.28
2000,ULCshear Lside-Rdip 2Rside-Ldip,7.5,9.0,25.0,50.0,13.5,50.0,R,50.0,4.0,4.0,2.0,0.0,2.0,2.0,11.65
2000,ULCshear Lside-Rdip Rside-Ldip,7.5,9.0,24.5,25.0,18.0,23.5,L,50.0,4.0,4.0,2.0,1.0,2.0,2.0,11.92
2000,ULCshear 2Rside-Ldip,10.0,7.5,23.5,22.5,14.0,21.5,L,24.0,4,3,2,1,1,1,3.23
2000,ULCshear Lside-C,8.0,9.0,24.5,24.5,15.5,24.0,R,50.0,3.0,2.0,1.0,1.0,1.0,1.0,8.89
